100,9027,3454.7335834385085,897.9373783599461,0.0,1.0
200,17609,7003.16349455674,883.3558264366084,0.0,1.0
300,26047,10554.585154381966,876.6432395518635,0.0,1.0
400,34518,13980.368118179089,876.9275185264173,0.0,1.0
500,43470,17501.035858911524,895.3779287717346,0.0,1.0
600,52318,20921.67472094644,892.487120505346,0.0,1.0
700,61328,24575.42903166905,897.3954645119335,0.0,1.0
800,69746,28119.389479329686,873.6828434179246,0.0,1.0
900,78335,31589.279434355103,882.4256014283773,0.0,1.0
1000,87206,35063.62083759196,892.1105610932398,0.0,1.0
1100,95687,38543.66244526145,878.1767495842204,0.0,1.0
