100,9038,3454.7335834385085,898.6150487666881,0.0,1.0
200,17613,7003.16349455674,882.5558320939656,0.0,1.0
300,26056,10554.585154381966,876.441549386848,0.0,1.0
400,34524,13980.368118179089,877.4389398749161,0.0,1.0
500,43465,17501.035858911524,894.5501448119389,0.0,1.0
600,52318,20921.67472094644,891.3157300115669,0.0,1.0
700,61327,24575.42903166905,897.311967589021,0.0,1.0
800,69748,28119.389479329686,873.9790693406933,0.0,1.0
900,78342,31589.279434355103,881.9023941164704,0.0,1.0
1000,87214,35063.62083759196,891.9001569130836,0.0,1.0
1100,95689,38543.66244526145,877.4467750803767,0.0,1.0
